system,min_denom,qmax,seed,exact,runtime_s
ellipse_5711,11,4,3,False,0.0051519469998311
ellipse_5711,11,4,4,False,0.0052881149968015
ellipse_5711,11,4,5,False,0.0054989099990052
ellipse_5711,11,4,6,False,0.0052826440005446
ellipse_5711,11,4,7,False,0.0052278660004958
ellipse_5711,11,4,8,False,0.0052973720012232
ellipse_5711,11,4,9,False,0.005333237000741
ellipse_5711,11,4,10,False,0.0052470990012807
ellipse_5711,11,4,11,False,0.0052223679995222
ellipse_5711,11,4,12,False,0.0051221460016677
ellipse_5711,11,4,13,False,0.0051622040009533
ellipse_5711,11,4,14,False,0.0051584200009529
ellipse_5711,11,4,15,False,0.0057468120030534
ellipse_5711,11,4,16,False,0.0053551769997284
ellipse_5711,11,4,17,False,0.0053154490015003
ellipse_5711,11,4,18,False,0.0052281810021668
ellipse_5711,11,4,19,False,0.0050956399973074
ellipse_5711,11,4,20,False,0.0050578599984874
ellipse_5711,11,4,21,False,0.0052851519976684
ellipse_5711,11,4,22,False,0.005261727998004
ellipse_5711,11,4,23,False,0.0053197490015008
ellipse_5711,11,4,24,False,0.0051354339993849
ellipse_5711,11,4,25,False,0.0052106399998592
ellipse_5711,11,4,26,False,0.0052056019994779
ellipse_5711,11,4,27,False,0.0051587699999799
ellipse_5711,11,4,28,False,0.0051878859994758
ellipse_5711,11,4,29,False,0.0050712490010482
ellipse_5711,11,8,0,False,0.0053179259994067
ellipse_5711,11,8,1,False,0.0053323459978855
ellipse_5711,11,8,2,False,0.0053555999984382
ellipse_5711,11,8,3,False,0.0053573219993268
ellipse_5711,11,8,4,False,0.0053710100000898
ellipse_5711,11,8,5,False,0.0052929150006093
ellipse_5711,11,8,6,False,0.0053648180000891
ellipse_5711,11,8,7,False,0.0054437609978776
ellipse_5711,11,8,8,False,0.0053114010006538
ellipse_5711,11,8,9,False,0.0054305630001181
ellipse_5711,11,8,10,False,0.0053479480011446
ellipse_5711,11,8,11,False,0.0053552030003629
ellipse_5711,11,8,12,False,0.0054049099999247
ellipse_5711,11,8,13,False,0.0054929279976931
ellipse_5711,11,8,14,False,0.0053675050003221
ellipse_5711,11,8,15,False,0.0053958230018906
ellipse_5711,11,8,16,False,0.005344352000975
ellipse_5711,11,8,17,False,0.0054187419991649
ellipse_5711,11,8,18,False,0.005364737000491
ellipse_5711,11,8,19,False,0.0053837800005567
ellipse_5711,11,8,20,False,0.0052804240003752
ellipse_5711,11,8,21,False,0.0054516050004167
ellipse_5711,11,8,22,False,0.0053785990021424
ellipse_5711,11,8,23,False,0.0054664599992975
ellipse_5711,11,8,24,False,0.0053461099996638
ellipse_5711,11,8,25,False,0.0054117249965202
ellipse_5711,11,8,26,False,0.0053838240019103
ellipse_5711,11,8,27,False,0.0052999679974163
ellipse_5711,11,8,28,False,0.0053600560022459
ellipse_5711,11,8,29,False,0.0053735039982711
ellipse_5711,11,16,0,True,0.0370104859975981
ellipse_5711,11,16,1,True,0.0340093570011958
ellipse_5711,11,16,2,True,0.0340827430009085
ellipse_5711,11,16,3,True,0.0339893739983381
ellipse_5711,11,16,4,True,0.0363327019986172
ellipse_5711,11,16,5,True,0.0340005670004757
ellipse_5711,11,16,6,True,0.0340257809984905
ellipse_5711,11,16,7,True,0.035545742000977
ellipse_5711,11,16,8,True,0.0340774760006752
ellipse_5711,11,16,9,True,0.0354602539991901
ellipse_5711,11,16,10,True,0.0349505569975008
ellipse_5711,11,16,11,True,0.0365746479983499
ellipse_5711,11,16,12,True,0.0352392200002213
ellipse_5711,11,16,13,True,0.0363821179998922
ellipse_5711,11,16,14,True,0.0342276240007777
ellipse_5711,11,16,15,True,0.0348562340004718
ellipse_5711,11,16,16,True,0.0342211410024901
ellipse_5711,11,16,17,True,0.0342032339976867
ellipse_5711,11,16,18,True,0.0344448690011631
ellipse_5711,11,16,19,True,0.036058083998796
ellipse_5711,11,16,20,True,0.0341603699998813
ellipse_5711,11,16,21,True,0.0344350520026637
ellipse_5711,11,16,22,True,0.0342603669996606
ellipse_5711,11,16,23,True,0.0342852559988386
ellipse_5711,11,16,24,True,0.0344315209986234
ellipse_5711,11,16,25,True,0.0343984409992117
ellipse_5711,11,16,26,True,0.0341517460001341
ellipse_5711,11,16,27,True,0.0349034269966068
ellipse_5711,11,16,28,True,0.0359048290010832
ellipse_5711,11,16,29,True,0.033856805999676
ellipse_5711,11,32,0,True,0.0350423070012766
ellipse_5711,11,32,1,True,0.035157356000127
ellipse_5711,11,32,2,True,0.0364995720010483
ellipse_5711,11,32,3,True,0.0351182539998262
ellipse_5711,11,32,4,True,0.0385353009987738
ellipse_5711,11,32,5,True,0.035319997001352
ellipse_5711,11,32,6,True,0.0356438849994447
ellipse_5711,11,32,7,True,0.0354843629975221
ellipse_5711,11,32,8,True,0.0352652799992938
ellipse_5711,11,32,9,True,0.0353242410019447
ellipse_5711,11,32,10,True,0.0370373879995895
ellipse_5711,11,32,11,True,0.0353309079982864
ellipse_5711,11,32,12,True,0.0353876180015504
ellipse_5711,11,32,13,True,0.0353912229984416
ellipse_5711,11,32,14,True,0.0352957610011799
ellipse_5711,11,32,15,True,0.0353169710033398
ellipse_5711,11,32,16,True,0.035046485998464
ellipse_5711,11,32,17,True,0.0349757900003169
ellipse_5711,11,32,18,True,0.0351034300001629
ellipse_5711,11,32,19,True,0.0349877389999164
ellipse_5711,11,32,20,True,0.0367980199989688
ellipse_5711,11,32,21,True,0.0360297219995118
ellipse_5711,11,32,22,True,0.0356313539996335
ellipse_5711,11,32,23,True,0.0363239510006678
ellipse_5711,11,32,24,True,0.0352743229996121
ellipse_5711,11,32,25,True,0.0349187860010715
ellipse_5711,11,32,26,True,0.0351280280010541
ellipse_5711,11,32,27,True,0.0352205899980617
ellipse_5711,11,32,28,True,0.0366215569993073
ellipse_5711,11,32,29,True,0.0353711570023733
ellipse_5711,11,64,0,True,0.0375030919967684
ellipse_5711,11,64,1,True,0.0374824790014827
