benchmark,condition,seed,exact,elapsed_s
kepler_angular_momentum,rescaled,23,True,0.09631752967834473
kepler_angular_momentum,rescaled,24,True,0.08175420761108398
kepler_angular_momentum,rescaled,25,True,0.09274411201477051
kepler_angular_momentum,rescaled,26,True,0.0870213508605957
kepler_angular_momentum,rescaled,27,True,0.09134697914123535
kepler_angular_momentum,rescaled,28,True,0.08328914642333984
kepler_angular_momentum,rescaled,29,True,0.08227682113647461
kepler_angular_momentum,standardized,0,False,0.04127812385559082
kepler_angular_momentum,standardized,1,False,0.04090118408203125
kepler_angular_momentum,standardized,2,False,0.06375598907470703
kepler_angular_momentum,standardized,3,False,0.062078237533569336
kepler_angular_momentum,standardized,4,False,0.05809640884399414
kepler_angular_momentum,standardized,5,False,0.04211258888244629
kepler_angular_momentum,standardized,6,False,0.04075741767883301
kepler_angular_momentum,standardized,7,False,0.05720114707946777
kepler_angular_momentum,standardized,8,False,0.05749106407165527
kepler_angular_momentum,standardized,9,False,0.05445218086242676
kepler_angular_momentum,standardized,10,False,0.06396031379699707
kepler_angular_momentum,standardized,11,False,0.04036879539489746
kepler_angular_momentum,standardized,12,False,0.041329383850097656
kepler_angular_momentum,standardized,13,False,0.057416439056396484
kepler_angular_momentum,standardized,14,False,0.06242084503173828
kepler_angular_momentum,standardized,15,False,0.06230974197387695
kepler_angular_momentum,standardized,16,False,0.06265401840209961
kepler_angular_momentum,standardized,17,False,0.04078531265258789
kepler_angular_momentum,standardized,18,False,0.05552506446838379
kepler_angular_momentum,standardized,19,False,0.04138827323913574
kepler_angular_momentum,standardized,20,False,0.04102373123168945
kepler_angular_momentum,standardized,21,False,0.05681777000427246
kepler_angular_momentum,standardized,22,False,0.05166363716125488
kepler_angular_momentum,standardized,23,False,0.040802001953125
kepler_angular_momentum,standardized,24,False,0.061051130294799805
kepler_angular_momentum,standardized,25,False,0.03641510009765625
kepler_angular_momentum,standardized,26,False,0.04111957550048828
kepler_angular_momentum,standardized,27,False,0.04136943817138672
kepler_angular_momentum,standardized,28,False,0.04115605354309082
kepler_angular_momentum,standardized,29,False,0.06307005882263184
feynman_momentum_conservation_1d,baseline,0,True,0.0831913948059082
feynman_momentum_conservation_1d,baseline,1,True,0.09551429748535156
feynman_momentum_conservation_1d,baseline,2,True,0.0642557144165039
feynman_momentum_conservation_1d,baseline,3,True,0.08425760269165039
feynman_momentum_conservation_1d,baseline,4,True,0.051380157470703125
feynman_momentum_conservation_1d,baseline,5,True,0.07035493850708008
feynman_momentum_conservation_1d,baseline,6,True,0.11062264442443848
feynman_momentum_conservation_1d,baseline,7,True,0.06844305992126465
feynman_momentum_conservation_1d,baseline,8,True,0.07917046546936035
feynman_momentum_conservation_1d,baseline,9,True,0.06817841529846191
feynman_momentum_conservation_1d,baseline,10,True,0.0716104507446289
feynman_momentum_conservation_1d,baseline,11,True,0.0715177059173584
feynman_momentum_conservation_1d,baseline,12,True,0.07537841796875
feynman_momentum_conservation_1d,baseline,13,True,0.09741663932800293
feynman_momentum_conservation_1d,baseline,14,True,0.07933950424194336
feynman_momentum_conservation_1d,baseline,15,True,0.08057618141174316
feynman_momentum_conservation_1d,baseline,16,True,0.07459545135498047
feynman_momentum_conservation_1d,baseline,17,True,0.06870818138122559
feynman_momentum_conservation_1d,baseline,18,True,0.07075238227844238
feynman_momentum_conservation_1d,baseline,19,True,0.05038309097290039
feynman_momentum_conservation_1d,baseline,20,True,0.11988663673400879
feynman_momentum_conservation_1d,baseline,21,True,0.08660221099853516
feynman_momentum_conservation_1d,baseline,22,True,0.05173325538635254
feynman_momentum_conservation_1d,baseline,23,True,0.07475829124450684
feynman_momentum_conservation_1d,baseline,24,True,0.059513092041015625
feynman_momentum_conservation_1d,baseline,25,True,0.09659671783447266
feynman_momentum_conservation_1d,baseline,26,True,0.10526585578918457
feynman_momentum_conservation_1d,baseline,27,True,0.1141815185546875
feynman_momentum_conservation_1d,baseline,28,True,0.06470990180969238
feynman_momentum_conservation_1d,baseline,29,True,0.06707501411437988
feynman_momentum_conservation_1d,rescaled,0,False,0.04358696937561035
feynman_momentum_conservation_1d,rescaled,1,False,0.0925757884979248
feynman_momentum_conservation_1d,rescaled,2,False,0.06564950942993164
feynman_momentum_conservation_1d,rescaled,3,False,0.09114575386047363
feynman_momentum_conservation_1d,rescaled,4,False,0.03863644599914551
feynman_momentum_conservation_1d,rescaled,5,False,0.09715652465820312
feynman_momentum_conservation_1d,rescaled,6,False,0.04735279083251953
feynman_momentum_conservation_1d,rescaled,7,False,0.05047941207885742
feynman_momentum_conservation_1d,rescaled,8,False,0.05283784866333008
feynman_momentum_conservation_1d,rescaled,9,False,0.06844234466552734
feynman_momentum_conservation_1d,rescaled,10,False,0.09104037284851074
feynman_momentum_conservation_1d,rescaled,11,False,0.06343722343444824
feynman_momentum_conservation_1d,rescaled,12,False,0.06656908988952637
feynman_momentum_conservation_1d,rescaled,13,False,0.05764484405517578
feynman_momentum_conservation_1d,rescaled,14,False,0.04877614974975586
feynman_momentum_conservation_1d,rescaled,15,False,0.044341325759887695
feynman_momentum_conservation_1d,rescaled,16,False,0.06414175033569336
feynman_momentum_conservation_1d,rescaled,17,False,0.09929919242858887
feynman_momentum_conservation_1d,rescaled,18,False,0.06630349159240723
feynman_momentum_conservation_1d,rescaled,19,False,0.057683467864990234
feynman_momentum_conservation_1d,rescaled,20,False,0.04937028884887695
feynman_momentum_conservation_1d,rescaled,21,False,0.05240511894226074
feynman_momentum_conservation_1d,rescaled,22,False,0.048753976821899414
feynman_momentum_conservation_1d,rescaled,23,False,0.042441606521606445
feynman_momentum_conservation_1d,rescaled,24,False,0.04579615592956543
feynman_momentum_conservation_1d,rescaled,25,False,0.08759212493896484
feynman_momentum_conservation_1d,rescaled,26,False,0.06494784355163574
feynman_momentum_conservation_1d,rescaled,27,False,0.061231136322021484
feynman_momentum_conservation_1d,rescaled,28,False,0.04114508628845215
feynman_momentum_conservation_1d,rescaled,29,False,0.05773782730102539
feynman_momentum_conservation_1d,standardized,0,False,0.03939318656921387
feynman_momentum_conservation_1d,standardized,1,False,0.09318399429321289
feynman_momentum_conservation_1d,standardized,2,False,0.027569055557250977
feynman_momentum_conservation_1d,standardized,3,False,0.04716229438781738
feynman_momentum_conservation_1d,standardized,4,False,0.035100698471069336
feynman_momentum_conservation_1d,standardized,5,False,0.05414080619812012
feynman_momentum_conservation_1d,standardized,6,False,0.1031191349029541
feynman_momentum_conservation_1d,standardized,7,False,0.0841822624206543
feynman_momentum_conservation_1d,standardized,8,False,0.05202531814575195
feynman_momentum_conservation_1d,standardized,9,False,0.04924631118774414
feynman_momentum_conservation_1d,standardized,10,False,0.08582377433776855
feynman_momentum_conservation_1d,standardized,11,False,0.06204390525817871
feynman_momentum_conservation_1d,standardized,12,False,0.059621334075927734
feynman_momentum_conservation_1d,standardized,13,False,0.06860947608947754
feynman_momentum_conservation_1d,standardized,14,False,0.0850820541381836
feynman_momentum_conservation_1d,standardized,15,False,0.05372762680053711
feynman_momentum_conservation_1d,standardized,16,False,0.07871842384338379
feynman_momentum_conservation_1d,standardized,17,False,0.0852973461151123
feynman_momentum_conservation_1d,standardized,18,False,0.04792070388793945
feynman_momentum_conservation_1d,standardized,19,False,0.049787044525146484
feynman_momentum_conservation_1d,standardized,20,False,0.10215902328491211
feynman_momentum_conservation_1d,standardized,21,False,0.054190874099731445
feynman_momentum_conservation_1d,standardized,22,False,0.03827047348022461
feynman_momentum_conservation_1d,standardized,23,False,0.05663180351257324
feynman_momentum_conservation_1d,standardized,24,False,0.04567766189575195
feynman_momentum_conservation_1d,standardized,25,False,0.08683538436889648
feynman_momentum_conservation_1d,standardized,26,False,0.07002139091491699
feynman_momentum_conservation_1d,standardized,27,False,0.09556102752685547
feynman_momentum_conservation_1d,standardized,28,False,0.04117298126220703
feynman_momentum_conservation_1d,standardized,29,False,0.05187201499938965
