system,qmax,seed,false_positive,runtime_s
generic_cloud,64,27,False,0.05730084400056512
generic_cloud,64,28,False,0.06033822200333816
generic_cloud,64,29,False,0.08388875500168069
irrational_pi,2,0,False,0.005758818999311188
irrational_pi,2,1,False,0.005703576000087196
irrational_pi,2,2,False,0.005619359999400331
irrational_pi,2,3,False,0.005708382999728201
irrational_pi,2,4,False,0.005691845999535872
irrational_pi,2,5,False,0.0056285930004378315
irrational_pi,2,6,False,0.005559258002904244
irrational_pi,2,7,False,0.006878675001644297
irrational_pi,2,8,False,0.005727199000830296
irrational_pi,2,9,False,0.005521962000784697
irrational_pi,2,10,False,0.005648558002576465
irrational_pi,2,11,False,0.007719867000560043
irrational_pi,2,12,False,0.005538069999602158
irrational_pi,2,13,False,0.005609346997516695
irrational_pi,2,14,False,0.005945873002929147
irrational_pi,2,15,False,0.0058177140017505735
irrational_pi,2,16,False,0.0057983919978141785
irrational_pi,2,17,False,0.005730378998123342
irrational_pi,2,18,False,0.00551375700160861
irrational_pi,2,19,False,0.005635164998238906
irrational_pi,2,20,False,0.0056695439998293296
irrational_pi,2,21,False,0.005652108997310279
irrational_pi,2,22,False,0.005519851001736242
irrational_pi,2,23,False,0.005622728000162169
irrational_pi,2,24,False,0.005611238000710728
irrational_pi,2,25,False,0.005563664002693258
irrational_pi,2,26,False,0.005555011000978993
irrational_pi,2,27,False,0.0056165050009440165
irrational_pi,2,28,False,0.005697930999303935
irrational_pi,2,29,False,0.005531975002668332
irrational_pi,4,0,False,0.005696837000868982
irrational_pi,4,1,False,0.005647065001539886
irrational_pi,4,2,False,0.005555277999519603
irrational_pi,4,3,False,0.005607389000942931
irrational_pi,4,4,False,0.0054414120022556745
irrational_pi,4,5,False,0.005595525999524398
irrational_pi,4,6,False,0.005508414000360062
irrational_pi,4,7,False,0.005595425001956755
irrational_pi,4,8,False,0.005504277000000002
irrational_pi,4,9,False,0.005496627996762982
irrational_pi,4,10,False,0.005529587997443741
irrational_pi,4,11,False,0.005590274002315709
irrational_pi,4,12,False,0.005431599998701131
irrational_pi,4,13,False,0.005530949001695262
irrational_pi,4,14,False,0.005543169998418307
irrational_pi,4,15,False,0.005506907000381034
irrational_pi,4,16,False,0.005525569002202246
irrational_pi,4,17,False,0.005627733000437729
irrational_pi,4,18,False,0.005437124000309268
irrational_pi,4,19,False,0.005596761002379935
irrational_pi,4,20,False,0.005435438997665187
irrational_pi,4,21,False,0.005620898002234753
irrational_pi,4,22,False,0.005529068999749143
irrational_pi,4,23,False,0.0055871879994811025
irrational_pi,4,24,False,0.005566550000366988
irrational_pi,4,25,False,0.005565637999097817
irrational_pi,4,26,False,0.0056020989977696445
irrational_pi,4,27,False,0.005630260002362775
irrational_pi,4,28,False,0.0056006149970926344
irrational_pi,4,29,False,0.005510906998097198
irrational_pi,8,0,False,0.005672502000379609
irrational_pi,8,1,False,0.005732308996812208
irrational_pi,8,2,False,0.005734464000852313
irrational_pi,8,3,False,0.005606775001069764
irrational_pi,8,4,False,0.0056861270022636745
irrational_pi,8,5,False,0.005733559999498539
irrational_pi,8,6,False,0.005649595001159469
irrational_pi,8,7,False,0.005668410998623585
irrational_pi,8,8,False,0.005865988998266403
irrational_pi,8,9,False,0.006476751997979591
irrational_pi,8,10,False,0.005764878998888889
irrational_pi,8,11,False,0.005678513000020757
irrational_pi,8,12,False,0.005982531001791358
irrational_pi,8,13,False,0.005768979997810675
irrational_pi,8,14,False,0.005646862999128643
irrational_pi,8,15,False,0.005649826001899783
irrational_pi,8,16,False,0.005668998001056025
irrational_pi,8,17,False,0.005665016000421019
irrational_pi,8,18,False,0.005718026000977261
irrational_pi,8,19,False,0.005743421999795828
irrational_pi,8,20,False,0.0057140030003210995
irrational_pi,8,21,False,0.005687582000973634
irrational_pi,8,22,False,0.005617150000034599
irrational_pi,8,23,False,0.005966898002952803
irrational_pi,8,24,False,0.005764710997027578
irrational_pi,8,25,False,0.0057816830012598075
irrational_pi,8,26,False,0.005701490998035297
irrational_pi,8,27,False,0.005850382000062382
irrational_pi,8,28,False,0.00566025000080117
irrational_pi,8,29,False,0.005593633999524172
irrational_pi,16,0,False,0.006046769001841312
irrational_pi,16,1,False,0.0062048529980529565
irrational_pi,16,2,False,0.0060085249970143195
irrational_pi,16,3,False,0.006156470000860281
irrational_pi,16,4,False,0.00596227300047758
irrational_pi,16,5,False,0.005946958001004532
irrational_pi,16,6,False,0.006040387001121417
irrational_pi,16,7,False,0.005990198002109537
irrational_pi,16,8,False,0.006054056000721175
irrational_pi,16,9,False,0.00604558899794938
irrational_pi,16,10,False,0.006166164999740431
irrational_pi,16,11,False,0.006029434000083711
irrational_pi,16,12,False,0.005974222000077134
irrational_pi,16,13,False,0.006043010002031224
irrational_pi,16,14,False,0.006802470001275651
irrational_pi,16,15,False,0.006059251001715893
irrational_pi,16,16,False,0.0060413489991333336
irrational_pi,16,17,False,0.0059908660005021375
irrational_pi,16,18,False,0.0060925569996470585
irrational_pi,16,19,False,0.006068015998607734
irrational_pi,16,20,False,0.006024859001627192
irrational_pi,16,21,False,0.006101984999986598
irrational_pi,16,22,False,0.006002567999530584
irrational_pi,16,23,False,0.006129135999799473
irrational_pi,16,24,False,0.006228095000551548
