integrator,order,dt,seed,b_hat,c_hat,gap
symplectic_euler,1,0.02,13,-0.019999999999999966,1.0,0.019999999999999966
symplectic_euler,1,0.02,14,-0.02000000000000001,0.9999999999999998,0.02000000000000001
symplectic_euler,1,0.02,15,-0.019999999999999973,1.0000000000000002,0.019999999999999973
symplectic_euler,1,0.02,16,-0.019999999999999924,0.9999999999999999,0.019999999999999924
symplectic_euler,1,0.02,17,-0.01999999999999994,1.0,0.01999999999999994
symplectic_euler,1,0.02,18,-0.01999999999999983,0.9999999999999996,0.01999999999999983
symplectic_euler,1,0.02,19,-0.019999999999999997,1.0000000000000004,0.019999999999999997
symplectic_euler,1,0.02,20,-0.02,1.0000000000000004,0.02
symplectic_euler,1,0.02,21,-0.019999999999999754,1.0000000000000004,0.019999999999999754
symplectic_euler,1,0.02,22,-0.0199999999999999,1.0000000000000004,0.0199999999999999
symplectic_euler,1,0.02,23,-0.019999999999999834,1.0000000000000009,0.019999999999999834
symplectic_euler,1,0.02,24,-0.01999999999999995,0.9999999999999998,0.01999999999999995
symplectic_euler,1,0.02,25,-0.01999999999999987,1.0000000000000004,0.01999999999999987
symplectic_euler,1,0.02,26,-0.020000000000000195,1.0,0.020000000000000195
symplectic_euler,1,0.02,27,-0.019999999999999934,0.9999999999999993,0.019999999999999934
symplectic_euler,1,0.02,28,-0.01999999999999994,1.0000000000000002,0.01999999999999994
symplectic_euler,1,0.02,29,-0.019999999999999993,0.9999999999999997,0.019999999999999993
symplectic_euler,1,0.05,0,-0.04999999999999996,0.9999999999999998,0.04999999999999996
symplectic_euler,1,0.05,1,-0.05000000000000003,0.9999999999999997,0.05000000000000003
symplectic_euler,1,0.05,2,-0.05000000000000016,1.0000000000000004,0.05000000000000016
symplectic_euler,1,0.05,3,-0.04999999999999995,0.9999999999999996,0.04999999999999995
symplectic_euler,1,0.05,4,-0.05000000000000001,1.0000000000000007,0.05000000000000001
symplectic_euler,1,0.05,5,-0.049999999999999954,1.0,0.049999999999999954
symplectic_euler,1,0.05,6,-0.049999999999999864,0.9999999999999998,0.049999999999999864
symplectic_euler,1,0.05,7,-0.05,1.0000000000000002,0.05
symplectic_euler,1,0.05,8,-0.05000000000000001,1.0000000000000002,0.05000000000000001
symplectic_euler,1,0.05,9,-0.04999999999999999,1.0000000000000004,0.04999999999999999
symplectic_euler,1,0.05,10,-0.049999999999999975,1.0000000000000002,0.049999999999999975
symplectic_euler,1,0.05,11,-0.05000000000000007,1.0000000000000007,0.05000000000000007
symplectic_euler,1,0.05,12,-0.049999999999999864,0.9999999999999997,0.049999999999999864
symplectic_euler,1,0.05,13,-0.050000000000000024,1.0,0.050000000000000024
symplectic_euler,1,0.05,14,-0.05000000000000012,0.9999999999999999,0.05000000000000012
symplectic_euler,1,0.05,15,-0.05000000000000001,1.0000000000000002,0.05000000000000001
symplectic_euler,1,0.05,16,-0.04999999999999995,1.0,0.04999999999999995
symplectic_euler,1,0.05,17,-0.04999999999999995,1.0000000000000007,0.04999999999999995
symplectic_euler,1,0.05,18,-0.05000000000000013,1.0000000000000004,0.05000000000000013
symplectic_euler,1,0.05,19,-0.05000000000000003,0.9999999999999998,0.05000000000000003
symplectic_euler,1,0.05,20,-0.049999999999999975,0.9999999999999996,0.049999999999999975
symplectic_euler,1,0.05,21,-0.05000000000000001,1.0,0.05000000000000001
symplectic_euler,1,0.05,22,-0.04999999999999993,1.0000000000000004,0.04999999999999993
symplectic_euler,1,0.05,23,-0.050000000000000024,1.0000000000000002,0.050000000000000024
symplectic_euler,1,0.05,24,-0.05000000000000018,0.9999999999999998,0.05000000000000018
symplectic_euler,1,0.05,25,-0.05,1.0000000000000004,0.05
symplectic_euler,1,0.05,26,-0.049999999999999975,0.9999999999999997,0.049999999999999975
symplectic_euler,1,0.05,27,-0.04999999999999995,0.999999999999999,0.04999999999999995
symplectic_euler,1,0.05,28,-0.049999999999999926,0.9999999999999999,0.049999999999999926
symplectic_euler,1,0.05,29,-0.04999999999999995,0.9999999999999994,0.04999999999999995
symplectic_euler,1,0.1,0,-0.09999999999999977,0.9999999999999992,0.09999999999999977
symplectic_euler,1,0.1,1,-0.09999999999999987,0.9999999999999997,0.09999999999999987
symplectic_euler,1,0.1,2,-0.10000000000000009,1.0000000000000004,0.10000000000000009
symplectic_euler,1,0.1,3,-0.10000000000000016,1.0000000000000004,0.10000000000000016
symplectic_euler,1,0.1,4,-0.09999999999999988,0.9999999999999999,0.09999999999999988
symplectic_euler,1,0.1,5,-0.10000000000000014,1.0000000000000004,0.10000000000000014
symplectic_euler,1,0.1,6,-0.09999999999999991,1.0,0.09999999999999991
symplectic_euler,1,0.1,7,-0.10000000000000006,1.0,0.10000000000000006
symplectic_euler,1,0.1,8,-0.10000000000000007,0.9999999999999994,0.10000000000000007
symplectic_euler,1,0.1,9,-0.09999999999999995,0.9999999999999997,0.09999999999999995
symplectic_euler,1,0.1,10,-0.09999999999999999,1.0000000000000004,0.09999999999999999
symplectic_euler,1,0.1,11,-0.09999999999999987,1.0,0.09999999999999987
symplectic_euler,1,0.1,12,-0.09999999999999994,1.0,0.09999999999999994
symplectic_euler,1,0.1,13,-0.09999999999999991,1.0000000000000004,0.09999999999999991
symplectic_euler,1,0.1,14,-0.0999999999999999,0.9999999999999994,0.0999999999999999
symplectic_euler,1,0.1,15,-0.09999999999999984,0.9999999999999997,0.09999999999999984
symplectic_euler,1,0.1,16,-0.10000000000000016,0.9999999999999994,0.10000000000000016
symplectic_euler,1,0.1,17,-0.09999999999999991,0.9999999999999998,0.09999999999999991
symplectic_euler,1,0.1,18,-0.09999999999999999,0.9999999999999996,0.09999999999999999
symplectic_euler,1,0.1,19,-0.09999999999999992,0.9999999999999997,0.09999999999999992
symplectic_euler,1,0.1,20,-0.09999999999999998,1.0,0.09999999999999998
symplectic_euler,1,0.1,21,-0.09999999999999994,0.9999999999999997,0.09999999999999994
symplectic_euler,1,0.1,22,-0.09999999999999994,0.9999999999999994,0.09999999999999994
symplectic_euler,1,0.1,23,-0.10000000000000002,1.0000000000000002,0.10000000000000002
symplectic_euler,1,0.1,24,-0.09999999999999995,1.0000000000000007,0.09999999999999995
symplectic_euler,1,0.1,25,-0.09999999999999992,0.9999999999999993,0.09999999999999992
symplectic_euler,1,0.1,26,-0.1,1.0000000000000002,0.1
symplectic_euler,1,0.1,27,-0.10000000000000024,1.0000000000000007,0.10000000000000024
symplectic_euler,1,0.1,28,-0.09999999999999991,1.0000000000000002,0.09999999999999991
symplectic_euler,1,0.1,29,-0.10000000000000005,1.0000000000000002,0.10000000000000005
symplectic_euler,1,0.2,0,-0.20000000000000018,1.0000000000000007,0.20000000000000018
symplectic_euler,1,0.2,1,-0.19999999999999996,1.0000000000000004,0.19999999999999996
symplectic_euler,1,0.2,2,-0.20000000000000018,1.0000000000000004,0.20000000000000018
symplectic_euler,1,0.2,3,-0.20000000000000023,1.0000000000000002,0.20000000000000023
symplectic_euler,1,0.2,4,-0.2000000000000001,1.0,0.2000000000000001
symplectic_euler,1,0.2,5,-0.19999999999999996,1.0,0.19999999999999996
symplectic_euler,1,0.2,6,-0.19999999999999976,1.0000000000000004,0.19999999999999976
symplectic_euler,1,0.2,7,-0.2000000000000005,1.0000000000000009,0.2000000000000005
symplectic_euler,1,0.2,8,-0.20000000000000007,1.0000000000000002,0.20000000000000007
symplectic_euler,1,0.2,9,-0.20000000000000018,1.0,0.20000000000000018
symplectic_euler,1,0.2,10,-0.19999999999999965,0.9999999999999994,0.19999999999999965
symplectic_euler,1,0.2,11,-0.20000000000000004,0.9999999999999996,0.20000000000000004
symplectic_euler,1,0.2,12,-0.20000000000000004,1.0000000000000004,0.20000000000000004
symplectic_euler,1,0.2,13,-0.20000000000000018,0.9999999999999999,0.20000000000000018
symplectic_euler,1,0.2,14,-0.19999999999999982,0.9999999999999996,0.19999999999999982
symplectic_euler,1,0.2,15,-0.20000000000000004,1.0000000000000007,0.20000000000000004
symplectic_euler,1,0.2,16,-0.1999999999999998,0.9999999999999999,0.1999999999999998
symplectic_euler,1,0.2,17,-0.20000000000000015,1.0000000000000004,0.20000000000000015
symplectic_euler,1,0.2,18,-0.19999999999999984,0.9999999999999998,0.19999999999999984
symplectic_euler,1,0.2,19,-0.2000000000000001,1.0000000000000002,0.2000000000000001
symplectic_euler,1,0.2,20,-0.20000000000000015,0.9999999999999998,0.20000000000000015
symplectic_euler,1,0.2,21,-0.20000000000000007,1.0000000000000002,0.20000000000000007
symplectic_euler,1,0.2,22,-0.1999999999999998,0.9999999999999997,0.1999999999999998
symplectic_euler,1,0.2,23,-0.1999999999999999,1.0,0.1999999999999999
symplectic_euler,1,0.2,24,-0.20000000000000007,1.0000000000000002,0.20000000000000007
symplectic_euler,1,0.2,25,-0.20000000000000023,0.9999999999999999,0.20000000000000023
symplectic_euler,1,0.2,26,-0.19999999999999998,0.9999999999999997,0.19999999999999998
symplectic_euler,1,0.2,27,-0.2000000000000003,0.9999999999999998,0.2000000000000003
symplectic_euler,1,0.2,28,-0.19999999999999996,0.9999999999999996,0.19999999999999996
symplectic_euler,1,0.2,29,-0.20000000000000026,1.0000000000000007,0.20000000000000026
stormer_verlet,2,0.001,0,-1.0074991878158735e-16,1.0000002500000675,2.500000675365044e-07
stormer_verlet,2,0.001,1,-6.1668520794939095e-15,1.0000002500000638,2.500000637617462e-07
stormer_verlet,2,0.001,2,3.817719027096123e-15,1.0000002500000627,2.500000626515231e-07
stormer_verlet,2,0.001,3,-6.103915690519824e-15,1.0000002500000644,2.5000006442787997e-07
stormer_verlet,2,0.001,4,-2.2055338834478012e-15,1.00000025000006,2.500000599869878e-07
stormer_verlet,2,0.001,5,5.776592588767896e-15,1.0000002500000644,2.5000006442787997e-07
stormer_verlet,2,0.001,6,3.394094281490485e-15,1.0000002500000658,2.5000006576014755e-07
stormer_verlet,2,0.001,7,-5.476671725781957e-16,1.0000002500000646,2.500000646499245e-07
stormer_verlet,2,0.001,8,1.366442553453392e-15,1.0000002500000653,2.5000006531605834e-07
stormer_verlet,2,0.001,9,-8.167899732653819e-16,1.0000002500000646,2.500000646499245e-07
stormer_verlet,2,0.001,10,3.1551608160849567e-15,1.000000250000061,2.500000610972109e-07
stormer_verlet,2,0.001,11,-1.1764295885329289e-15,1.000000250000062,2.5000006198538927e-07
stormer_verlet,2,0.001,12,2.438469691542225e-15,1.0000002500000658,2.5000006576014755e-07
stormer_verlet,2,0.001,13,-9.880791598711907e-16,1.0000002500000618,2.5000006176334466e-07
stormer_verlet,2,0.001,14,-5.38568501978324e-15,1.0000002500000615,2.500000615413001e-07
stormer_verlet,2,0.001,15,1.2722337331049134e-15,1.0000002500000618,2.5000006176334466e-07
stormer_verlet,2,0.001,16,1.216627829182758e-15,1.000000250000065,2.5000006509401373e-07
stormer_verlet,2,0.001,17,-5.749195398100009e-16,1.0000002500000602,2.500000602090324e-07
stormer_verlet,2,0.001,18,-4.757977310755171e-16,1.000000250000059,2.500000590988094e-07
stormer_verlet,2,0.001,19,-2.2093706010527042e-15,1.0000002500000646,2.500000646499245e-07
stormer_verlet,2,0.001,20,1.4937257018718741e-15,1.000000250000064,2.500000639837907e-07
stormer_verlet,2,0.001,21,2.7003898944868922e-15,1.0000002500000587,2.500000586547202e-07
stormer_verlet,2,0.001,22,9.347384927195411e-16,1.0000002500000607,2.5000006065312164e-07
stormer_verlet,2,0.001,23,2.7973650410049134e-15,1.0000002500000622,2.500000622074339e-07
stormer_verlet,2,0.001,24,1.6088128925168399e-15,1.0000002500000598,2.500000597649432e-07
stormer_verlet,2,0.001,25,5.4473626538772306e-15,1.0000002500000613,2.500000613192555e-07
stormer_verlet,2,0.001,26,-3.175151969576189e-15,1.0000002500000633,2.500000633176569e-07
stormer_verlet,2,0.001,27,-1.170842552418176e-15,1.0000002500000615,2.5000006154130006e-07
stormer_verlet,2,0.001,28,4.3857242445046037e-16,1.0000002500000618,2.5000006176334466e-07
stormer_verlet,2,0.001,29,2.73685255538551e-15,1.0000002500000646,2.500000646499246e-07
stormer_verlet,2,0.002,0,2.7518574046423317e-16,1.0000010000010007,1.0000010006727678e-06
stormer_verlet,2,0.002,1,-5.575534709827329e-16,1.0000010000009996,1.0000009995625447e-06
stormer_verlet,2,0.002,2,4.3428730582903724e-16,1.0000010000009998,1.0000009997845893e-06
stormer_verlet,2,0.002,3,1.3684358403887238e-15,1.000001000001001,1.0000010008948124e-06
stormer_verlet,2,0.002,4,5.261641345675132e-16,1.0000010000010005,1.0000010004507232e-06
stormer_verlet,2,0.002,5,-1.891452636199742e-15,1.0000010000009987,1.0000009986743663e-06
stormer_verlet,2,0.002,6,-8.480604407966993e-16,1.000001000001,1.000001000006634e-06
stormer_verlet,2,0.002,7,2.399436340162224e-16,1.0000010000010011,1.000001001116857e-06
stormer_verlet,2,0.002,8,4.024287142256493e-16,1.000001000001002,1.0000010020050354e-06
stormer_verlet,2,0.002,9,-2.2640480837481382e-15,1.0000010000009991,1.0000009991184555e-06
stormer_verlet,2,0.002,10,3.9433654876641935e-16,1.0000010000010002,1.0000010002286785e-06
stormer_verlet,2,0.002,11,-1.3024523643428285e-16,1.0000010000009998,1.0000009997845893e-06
stormer_verlet,2,0.002,12,-1.4819233697985464e-15,1.0000010000009993,1.0000009993405001e-06
stormer_verlet,2,0.002,13,9.77561308846559e-16,1.0000010000009996,1.0000009995625447e-06
stormer_verlet,2,0.002,14,-1.5087262383121244e-16,1.0000010000010016,1.0000010015609462e-06
stormer_verlet,2,0.002,15,6.682399971889557e-16,1.000001000001,1.000001000006634e-06
stormer_verlet,2,0.002,16,-1.0477334762317626e-17,1.0000010000010002,1.0000010002286785e-06
stormer_verlet,2,0.002,17,1.0449727579477908e-15,1.000001000001001,1.0000010008948124e-06
stormer_verlet,2,0.002,18,-9.00540574602489e-17,1.0000010000009982,1.000000998230277e-06
stormer_verlet,2,0.002,19,9.836983910279848e-16,1.000001000001,1.000001000006634e-06
stormer_verlet,2,0.002,20,5.115607949519679e-16,1.0000010000010005,1.0000010004507232e-06
stormer_verlet,2,0.002,21,2.2694480756767526e-16,1.0000010000009993,1.0000009993405001e-06
stormer_verlet,2,0.002,22,-9.704114697653376e-16,1.0000010000010011,1.000001001116857e-06
stormer_verlet,2,0.002,23,8.882940631894813e-16,1.0000010000010005,1.0000010004507232e-06
stormer_verlet,2,0.002,24,1.0950822716175558e-17,1.0000010000010005,1.0000010004507232e-06
stormer_verlet,2,0.002,25,1.9517275939190916e-15,1.0000010000010005,1.0000010004507232e-06
stormer_verlet,2,0.002,26,-2.392516118777237e-15,1.0000010000009991,1.0000009991184555e-06
stormer_verlet,2,0.002,27,-1.1300064488171751e-15,1.0000010000009996,1.0000009995625447e-06
stormer_verlet,2,0.002,28,-2.1158753888848438e-15,1.0000010000009993,1.0000009993405001e-06
