sigma,seed,new_exact,orig_exact,new_time,orig_time
0.12,13,True,False,0.009177446365356445,0.010270833969116211
0.12,14,True,False,0.01569533348083496,0.015551328659057617
0.12,15,True,False,0.016033172607421875,0.013012409210205078
0.12,16,True,False,0.011089563369750977,0.0072345733642578125
0.12,17,True,False,0.016010284423828125,0.011688947677612305
0.12,18,True,False,0.015850067138671875,0.0105133056640625
0.12,19,True,False,0.012294769287109375,0.0070917606353759766
0.12,20,True,False,0.015943288803100586,0.009956836700439453
0.12,21,True,False,0.010828256607055664,0.007551670074462891
0.12,22,True,False,0.015994548797607422,0.012783288955688477
0.12,23,True,False,0.015463829040527344,0.007806301116943359
0.12,24,True,False,0.00845956802368164,0.00632786750793457
0.12,25,True,False,0.01566338539123535,0.009860515594482422
0.12,26,True,False,0.015729904174804688,0.011371612548828125
0.12,27,True,False,0.01596665382385254,0.0176846981048584
0.12,28,True,False,0.012592315673828125,0.011743545532226562
0.12,29,True,False,0.015984773635864258,0.012889862060546875
0.14,0,True,False,0.008182525634765625,0.014569759368896484
0.14,1,True,False,0.018026113510131836,0.010746479034423828
0.14,2,True,False,0.01616382598876953,0.01711273193359375
0.14,3,True,False,0.016261816024780273,0.016868114471435547
0.14,4,True,False,0.014601707458496094,0.013236761093139648
0.14,5,True,False,0.01588153839111328,0.011258125305175781
0.14,6,True,False,0.013292789459228516,0.009038448333740234
0.14,7,True,False,0.016086101531982422,0.013112306594848633
0.14,8,True,False,0.008679389953613281,0.014495372772216797
0.14,9,True,False,0.011542081832885742,0.009533405303955078
0.14,10,True,False,0.016339540481567383,0.011800765991210938
0.14,11,True,False,0.015568256378173828,0.006245851516723633
0.14,12,True,False,0.01586008071899414,0.011660099029541016
0.14,13,True,False,0.010846614837646484,0.008939504623413086
0.14,14,True,False,0.013753652572631836,0.014366388320922852
0.14,15,True,False,0.008397102355957031,0.008831024169921875
0.14,16,True,False,0.01613020896911621,0.01467275619506836
0.14,17,True,False,0.011034965515136719,0.05337929725646973
0.14,18,True,False,0.013185501098632812,0.006578683853149414
0.14,19,True,False,0.01584649085998535,0.011597871780395508
0.14,20,True,False,0.015157938003540039,0.007362842559814453
0.14,21,True,False,0.00825047492980957,0.007864713668823242
0.14,22,True,False,0.015399694442749023,0.012006998062133789
0.14,23,True,False,0.015805482864379883,0.01147150993347168
0.14,24,True,False,0.015361547470092773,0.014373302459716797
0.14,25,True,False,0.014315366744995117,0.023873329162597656
0.14,26,True,False,0.012772560119628906,0.015227079391479492
0.14,27,True,False,0.015995264053344727,0.01583409309387207
0.14,28,True,False,0.011200666427612305,0.006392478942871094
0.14,29,True,False,0.008154869079589844,0.007334709167480469
0.16,0,True,False,0.015634536743164062,0.01677393913269043
0.16,1,False,False,0.03956770896911621,0.01653909683227539
0.16,2,True,False,0.01564192771911621,0.009839057922363281
0.16,3,True,False,0.016089200973510742,0.013016700744628906
0.16,4,True,False,0.011365652084350586,0.009647369384765625
0.16,5,True,False,0.01280355453491211,0.0167233943939209
0.16,6,True,False,0.008589029312133789,0.011742115020751953
0.16,7,True,False,0.012436389923095703,0.007215976715087891
0.16,8,True,False,0.016065120697021484,0.007790565490722656
0.16,9,True,False,0.017395734786987305,0.016396760940551758
0.16,10,True,False,0.008391618728637695,0.00869297981262207
0.16,11,True,False,0.01581883430480957,0.014988422393798828
0.16,12,True,False,0.008536338806152344,0.005723714828491211
0.16,13,True,False,0.01609516143798828,0.014990091323852539
0.16,14,True,False,0.016115903854370117,0.015392780303955078
0.16,15,True,False,0.014013290405273438,0.006323575973510742
0.16,16,True,False,0.010359525680541992,0.012187004089355469
0.16,17,True,False,0.017400741577148438,0.013262748718261719
0.16,18,True,False,0.016054630279541016,0.010061025619506836
0.16,19,True,False,0.009554624557495117,0.013869524002075195
0.16,20,True,False,0.01606011390686035,0.010069608688354492
0.16,21,True,False,0.008540630340576172,0.007678031921386719
0.16,22,True,False,0.01442098617553711,0.012779474258422852
0.16,23,True,False,0.016046524047851562,0.011720657348632812
0.16,24,True,False,0.00841832160949707,0.012271404266357422
0.16,25,True,False,0.015831947326660156,0.017890214920043945
0.16,26,True,False,0.01587677001953125,0.011095046997070312
0.16,27,True,False,0.016129016876220703,0.010339975357055664
0.16,28,True,False,0.015707731246948242,0.01206517219543457
0.16,29,True,False,0.008413553237915039,0.00856924057006836
0.18,0,True,False,0.01407313346862793,0.01762676239013672
0.18,1,False,False,0.044523000717163086,0.009884357452392578
0.18,2,False,False,0.04540371894836426,0.016553878784179688
0.18,3,False,False,0.04463315010070801,0.016925811767578125
0.18,4,True,False,0.01645493507385254,0.017096519470214844
0.18,5,False,False,0.04596662521362305,0.01633596420288086
0.18,6,True,False,0.015705108642578125,0.017349958419799805
0.18,7,True,False,0.045348405838012695,0.011809587478637695
0.18,8,False,False,0.0247952938079834,0.013546466827392578
0.18,9,True,False,0.011422157287597656,0.01610255241394043
0.18,10,True,False,0.008908987045288086,0.01529550552368164
0.18,11,True,False,0.008373260498046875,0.008214235305786133
0.18,12,False,False,0.020527124404907227,0.010094165802001953
0.18,13,False,False,0.029790878295898438,0.010982751846313477
